-XkvqskkAOo	ZAYN - Pillowtalk	Nicki Minaj - Superbass
Vv8qJOkbXys	Charli XCX & Troye Sivan - 1999	Bowling For Soup - 1985	Anne-Marie - 2002	Prince - 1999	Jay Sean - 2012	Jonas Brothers - Year 3000
WwJwg6r-giw	Katy Perry - Walking on Air	Adéla - SUPERSCAR
XRc2H8R13iI	Backstreet Boys - I Want It That Way	Maroon 5 ft. Megan Thee Stallion - Beautiful Mistakes
XVvo-pB1v5g	Jason Derulo - Trumpets	Twenty One Pilots - Stressed Out
YdT-VrHNF7M	Destiny's Child - Say My Name	Clean Bandit ft. Charli XCX ft. Bhad Bhabie - Playboy Style
YhU8Prrsl_I	KATSEYE - Touch	Beyonce - Check On It
Yrv4JYLQs48	Carly Rae Jepsen - Call Me Maybe	Zedd ft. Maren Morris & Grey - The Middle
ZPXqzhCtGdQ	Britney Spears - Till The World Ends	Britney Spears - I'm a Slave 4 U	Britney Spears - Toxic	Britney Spears - Hold It Against Me	Britney Spears - ...Baby One More Time	Britney Spears - Unusual You	Britney Spears - Overprotected	Britney Spears - Oops! I Did It Again	Britney Spears - Gimme More	Britney Spears - Circus	Britney Spears - Me Against the Music	Britney Spears - Boys	Britney Spears - If U Seek Amy	Britney Spears - Radar	Britney Spears - Do Somethin'	Rihanna ft. Britney Spears - S&M	Britney Spears - Criminal	Britney Spears - I Wanna Go	Britney Spears - Stronger	Britney Spears - Break the Ice	Britney Spears - 3	Britney Spears - (You Drive Me) Crazy	Britney Spears - Piece of Me	Britney Spears - Womanizer
Zo3UhLTAuZE	Hot Chelle Rae - I Like It Like That	Jessie J - Price Tag
_IEVDyocWwc	Madonna - Music	Tate McRae - Exes
_VYMwgBYXj4	Camila Cabello ft. Young Thug - Havana	Beyonce & Shakira - Beautiful Liar
aQj4Wdu7hPw	Lil Nas X - That's What I Want	Shania Twain - Waking Up Dreaming
arheEVsidrI	Britney Spears - Oops! I Did It Again	BLACKPINK - Pink Venom
bJ9hm_WD_fo	Melanie Martinez - Pity Party	Miley Cyrus - See You Again
ctHhUDjeiRg	Kesha - Joyride	Madonna - Die Another Day
dklDd1Uqoa0	Katy Perry - Teenage Dream	P!nk - Never Gonna Not Dance Again
e85IxhWeB68	Selena Gomez & The Scene - Love You Like a Love Song	Charlie Puth - How Long
eaexrq6u5WA	Ariana Grande - pov	Madison Beer - Bad Enough
eipYS0qdsvM	Carly Rae Jepsen - Party For One	Katy Perry - Daisies
evZ3UtvVIHE	Elton John & Britney Spears - Hold Me Closer	Zedd & Selena Gomez - I Want You To Know	Lady Gaga - Free Woman	Years & Years & Kylie Minogue - Starstruck	Calvin Harris & Rihanna - This Is What You Came For
f9BPEejz2MQ	Destiny's Child - Say My Name	Britney Spears - Hold It Against Me
fB2bJzbhM5I	Shawn Mendes - In My Blood	Rob Thomas - This Is How a Heart Breaks
fIfG6TVIIsY	Dua Lipa - Break My Heart	Queen - Another One Bites the Dust
fM_D_30bgTk	Demi Lovato - Heart Attack	Maroon 5 - One More Night
fUdOtlvta7g	Meghan Trainor ft. Mike Sabath - Wave	Demi Lovato - Confident	Alessia Cara - Here
gXa6mhWTm2k	Bring Me The Horizon - Medicine	Natalie Imbruglia - Torn
gb6MRrSPWHE	Melanie Martinez - Soap	Christina Grimmie - Shrug
gisLNpyjWQ8	Nicki Minaj ft. Rihanna - Fly	Britney Spears ft. G-Eazy - Make Me
gtHxaS470sk	Fifth Harmony - Bo$$	Iggy Azalea ft. Charli XCX - Fancy
